id;nome;telefone;equipe;status
1;Guadeloupe Fresh Function-based;Plain out-of-the-box;Checking;Marketing compressing
2;Leu back-end payment;Plaza;Zealand connecting static;invoice hacking
3;Pants;national;parsing Research;Shilling Savings
4;e-services;Georgia AGP static;Home Money;Principal web-readiness port
5;Orchestrator;Jamaica;input;transmitting copy
6;Producer Implementation;Games Fresh sensor;iterate;Global Buckinghamshire
7;index synergize;Account Sleek;Spain Concrete;grey Dynamic Account
8;Granite Rwanda discrete;Market Ergonomic Up-sized;Franc Cambridgeshire Mount;Dynamic bluetooth
9;Investment;multimedia PCI;unleash;radical Islands
10;International Kwacha;up Borders;Electronics Aruban Florida;methodologies
